,Unnamed: 0.1,Unnamed: 0,video_id,video_date,video_description,suggested_words,cos_score,headline,headline_type,headline_genre,transcription,transcript_cos_similarity
0,988,1573,7304749510314691886,2023-11-23,happy thanksgiving i love you,,0.847849,happy thanksgiving,Dining,,"['get ready with me for thanksgiving', "" okay i think i'm gonna wear this brown skims dress"", "" i'm going with brown vibes this year so let's put her on"", "" okay here's the dress and i'm gonna wear these boots from stodd"", "" look like this and then i'm just gonna pair it with this little brown bag"", "" normal jewelry but i'm adding this beautiful jimmy choo ring right here"", ' okay let me show you guys in different lighting', ' here is the final outfit', ' happy thanksgiving!']",0.282631084984699
1,1213,1709,7304885018436832555,2023-11-23,happy thanksgiving yall thanksgiving family old row,,0.7953378,happy thanksgiving,Dining,,"[""oh shit, hopefully they don't have a ring"", ' god damn it!']",0.282631084984699
2,1255,1760,7304903646100196650,2023-11-24,digesting our thanksgiving dinner,,0.7921233,thanksgiving dinner,Learning,,[''],0.282631084984699
3,602,823,7332270968041262366,2024-02-05,my thoughts on the grammys,although enjoyment belatown grammy grammys the grammys the grammys grammy performance grammy nominations grammy nominees glorilla grammy performance,0.7561708,meet the  grammys best new artist nominees,Culture,,"['as you may already be aware, the 66th annual grammy awards took place last night, and likewise, i decided i would surmise my thoughts on the event as well as the big winners', ' first and foremost, i wanted to give a massive round of kudos to queen zzloc, the voice, taking home song of the year for her smash hit single, although, enjoyment from the barbie soundtrack', ' i personally just think she looked like an absolute star last night', ' the hair, the outfit, everything about it is exemplary, and i loved her performance', ' it made me very emotional', ' however, i must say my favorite part of the night was seeing both miley and hannah take home their respective trophies', "" as i'm sure you've heard many a times throughout the years, these two ladies did not get along on the set of their shared sitcom"", ' they even got into a fistfight once, allegedly', ' however, these days, it seems the two of them have put it all behind them and more than buried the hatchet', "" in fact, during miley's acceptance speech, you could even see hannah giving her a standing ovation"", "" it's just heartwarming to see these women finally supporting each other after all these years"", ' and the night came even more full circle when we got to see daniela monet take home the grammy award for best new artist for her hit musical, chicago', "" funny enough, daniela monet was actually in the running to play miley's character on hannah montana way back in 2005"", "" it's wonderful"", "" it seems everybody's gotten the best of both worlds"", "" but on a serious note, y'all did sizzle real fucking dirty"", ' this was some bullshit', ' she won best r&b album', "" i'm sorry, i don't even listen to sizzle like that, but you can't sit here and tell me that album wasn't a whole fucking moment"", "" like that didn't ship the world the way it did"", "" i'm sorry, did taylor swift need another album of the year? did billie eilish need another song of the year? were they gonna die without it? be fucking real"", '']",0.29708217095270717
4,1361,1799,7259174781101313326,2023-07-23,digging into the lore of bela town so you can have a better picture of the portrait barbie drama,belatown barbie belatown edis barbie dolls barbie movie barbie doll movie barbie scene barbie movie scenes barbie girl barbie tiktok,0.72492665,how barbie the doll and the movie reflects our society,Letters,,"['so quite a few people have requested that i make a video detailing the lore of bailetown, or like the connections between all the different characters', "" so that's what i'm going to be doing today"", ' so for starters, these are the two main characters, kendra and gary', ' kendra and gary actually first dated in high school', ' they were together for a couple of years', ' that is until sarah came into the picture and she made up a rumor that kendra was cheating on gary so that she could steal gary away from kendra', ' once kendra was out of the picture, sarah snatches gary up', ' she cuts a hole in the condom', ' she gets pregnant', ' they get married', ' their first child is this here, melody', "" melody, she's got quite a mouth on her"", ' and then they had a second child, anna lynn, a couple years later', "" but this is not biologically gary's child"", ' and he did not find out about that until a couple years into her life', ' he still sees her as his daughter, though, and takes care of her accordingly', ' eventually, gary finds out that sarah has been cheating on him with his brother, frankie', ' now, frankie and gary have a very tumultuous relationship', "" gary's kind of like a father figure to frankie"", "" that's how they were when they were younger because their father left at a very young age"", ' however, frankie has some animosity that he holds towards gary because of the fact that the reason why their dad left in the first place is because gary told their mom that the dad was cheating and thereby frankie kind of blames gary', "" so even though gary's like really good to frankie and has helped him a lot, frankie has that kind of resentment towards him that made it okay for him in his mind to sleep with gary's wife"", ' so after that, gary and sarah obviously got a divorce', "" and that's when he reconnected with kendra because he found out through his therapist that she works at the mcdonald's near him"", "" and, you know, they're now hashing that out"", ' kendra just recently got out of relationship with kevin here', ' he was cheating on her with her ex best friend, ariel', "" i think you're familiar with her"", "" ariel is actually a lesbian, but she's very resentful of the fact that she's a lesbian because she was raised very conservative and christian"", ' she married eric', ' eric is trans', "" she doesn't know that eric is trans though"", ' eric at some point ended up leaving ariel for the new ariel', "" and now these two are really at each other's throats because they both are in love with him"", "" she's not really in love with him, but like she has a connection to him"", "" it's complicated"", ' another man that ariel has involved herself with romantically to distract herself from her homosexuality is derek here', ' but derek is in a long-term relationship with elsa', "" he doesn't really love ariel"", "" ariel insists that she's in love with him, but she's really not"", "" it appears i'm also going to have to make a part two that should be up right now"", '']",0.29708217095270717
5,1355,1793,7273459734785559851,2023-08-31,the eras tour has been the most meaningful electric experience of my life so far and im overjoyed to tell you that itll be coming to the big screen soon starting oct th youll be able to experience the concert film in theaters in north america tickets are on sale now at amctheatrescom eras attire friendship bracelets singing and dancing encouraged lgb iykyk,taylor swift travis kelce eras tour taylor swift eras tour taylor swift song eras tour movie travis kelce taylor swift the eras tour cruel summer eras tour taylor swift movie,0.71643186,taylor swift eras tour concert film coming to movie theaters,Culture,,"['this has been the most extraordinary experience of my entire life', "" we're about to go on a little adventure together and that adventure is going to span 17 years of music"", ' how does that sound? welcome to the acoustic setting', "" people would come up to me and they'd be like, are you going to just do a show with all the albums in it? and i was like, yeah, it's going to be called the eros tour"", ' see you there', '']",0.29708217095270717
6,1356,1794,7260686788463824171,2023-07-27,part another shocking revelation is uncovered and this time brandon is the culprit bela town drama barbie,belatown barbie dolls rp barbie drama barbie scene barbie movie barbie doll movie barbie doll barbie episodes lawyer barbie,0.71406573,how barbie the doll and the movie reflects our society,Letters,,"[""well, since we're airing all of our dirty laundry, i have a secret i've been keeping from you, frankie"", "" drea, you don't have to tell him right now"", "" maybe i don't have to, but i want to"", ' i had sex with brandon', "" what? you slept with my fiancé, brandon? you're my own cousin"", "" how could you do this to me? oh, you're gonna try and talk down to me now? you sure weren't preaching to that choir when you decided to sleep with your brother's wife"", "" how the fuck could you do this to me? because, like a wise woman once said, there's nothing i do better than revenge"", ' i know all about what you did with my ex-boyfriend', "" you mean henry? yeah, that's right"", ' you slept with him, and i knew you slept with him', ' so i decided i would pipe your girl before i ever introduced her to you', ' and just as i planned, you fell in love with her', "" you had sex with drea before you ever introduced her to me? yup! and i had fun doing it! for what it's worth, frankie, i never cheated on you"", "" my relationship with him ended before we started dating, so don't even try to play victim right now"", "" it's nowhere close to what you did to me"", "" it doesn't matter, drea"", ' you still lied to me', "" no, i didn't"", ' you never asked me if i slept with him because i never figured that you had', ' were you expecting me to guess that you were sleeping with my best friend while we were engaged? babe, look', ' if you can look past what i did to you, i can look past what you did to me', ' absolutely not, frankie', "" what's done is done"", ' this wedding is over, and so are we', "" really? you're just gonna throw it all away like that? yes, i am! because it's not much to me anymore"", ' you burnt up every last shred of respect i had for you, frankie', "" we're over"", ' brandon, look', "" at this point, you're all i have"", "" wait, what? are you not mad at me? you're all i have"", "" gary, he doesn't want anything to do with me anymore"", "" my mom, she doesn't even call me"", ' she was all i had left', "" brandon, what do i do? i'm losing you"", "" i don't have a home"", ' i have nothing', "" why am i such a terrible person? i don't know what i did"", ' what did i do to deserve to be this kind of person? wait, frankie', ' really, melody? are you happy with yourself? i am happy with myself', ' because i exposed you for the type of fucking ranted bitch you are, sarah', ' have a good night', ' you doing anything later? oh, get away from me', '']",0.29708217095270717
7,365,503,7266065989958208814,2023-08-11,lmaoo idk whats going on here but im all for it ht boxingworldfansig boxing boxing tok boxing,,0.71213937,i gave up on boxing not on this boxer,Sports,,"[""i'm trippin' and dabbin', yeah, i'm causin' a madness, yeah, i'm fuckin' the baddest, yeah, i bought me the kravis, yeah, i bought me the jarvis, yeah, i never need practice, my money gon' double or triple, yeah, your money subtracted, yeah, put off on the drinks, put off on the cups, put off on the shwerves, yeah, i ain't even fuckin' with nobody, bitch got a crib and a berth, yeah, this shit coulda gone so bad, this shit coulda gone even worse, yeah, yeah, free wild side, the chain gang bitch, fuck till they burst, i bring out my money the most, i'm richer than all of them nerds, yeah, i'm flexin' the big bankroll, these nuts in my pocket, say, baby, i had a chance at the top, gave the bitch a kick, rippin' the curse till it burns, 20 bucks, savin' our city, we poppin' these pillies, these motherfuckers,""]",0.29708217095270717
8,1360,1798,7259175761129540907,2023-07-23,digging into bela town lore part two so that you can understand the picture a little more drama barbie elsa,belatown edit belatown elsa barbie barbie doll barbie scene barbie movie barbie tiktok barbie movie scenes barbie crying scene,0.7086589,how barbie the doll and the movie reflects our society,Letters,,"[""now, derek and elsa's relationship is plagued by the fact that derek is a serial cheater"", "" he's cheated on her with 20 women and five men"", ' he is also fighting that demon of bisexuality', "" he insists he's not, but he is"", "" now, here's where things get a little bit tricky to understand, and i need you to bear with me here"", ' so this is elsa', ' this is ho elsa', ' now, these are two separate people', ' however, at one point in time, they were the same person', ' at one point, it was just this elsa', ' and this was like up until the end of high school', ' mind you, all these people are between the ages of like 28 to 32, but they all went to high school together', ' a lot of their drama that insists upon all of them originated there', "" elsa was deeply, madly in love with her high school boyfriend, and that's when melissa came into the picture and slept with her boyfriend, and she was so betrayed and so heartbroken that all of the evil inside of her divested and diverted into ho elsa"", "" and now ho elsa runs around the town just sleeping with everybody's man"", ' however, there is sort of a good side to ho elsa', "" ho elsa's promiscuity actually exists less to target the women that she's sleeping with the husbands and boyfriends of, and more to target them"", "" ho elsa will purposefully seek out men she suspects of being potential cheaters, offer them sexual advances, and then put herself in a situation where she's going to be caught sleeping with him by the woman"", "" it's kind of like if you've ever seen dragon ball z, where the namekian kami like diverts all of the evil inside of him into becoming king piccolo"", ' however, king piccolo eventually like becomes a good guy', "" that's basically ho elsa"", ' her methods are imperfect, but really all she wants is for these women to want better for themselves', ' derek has two children', "" one of them is with elsa, but it's not biological"", "" it's an adopted child"", "" as jojo, she's not really that relevant, honestly"", ' she shows up from time to time', ' he also has naya, and now this is a little girl that he had with his ex-girlfriend, sheena', ' sheena ended up leaving derek after he slept with her father, and then she found greg, and this is her new man', "" he's a real stand-up guy"", ' they have a child together, sierra', ' sierra and naya are really close, and greg takes care of both of them equally', "" he loves naya as if that's his own daughter"", ' another thing worth noting is that greg and gary are really good friends', ' they met as children when they were in 4-h together', ' the inseparable bond', "" they haven't been in an episode together yet, but if they are in one, they're very close"", ' and now we have just a few more characters who are kind of out of this loop', ' kelsey and travis', ' they are a little bit younger than the rest of these guys', ' kelsey is 24', ' travis is 25', ' kelsey and travis started dating in high school', ' however, there was a bump in the road when travis was being groomed by their teacher, mrs', ' hanson', "" her name is just shannon if she's not in the environment of being a teacher"", ' shannon essentially forced travis to kind of sleep with her in order to get decent grades', ' he was a super senior in high school at the time, so he was 19', "" that's why she defends herself, but it was still really weird of her to do that"", ' now, kelsey and travis were able to make it through this, and they are still together for all intents and purposes', "" however, even though she's forgiven him, he really hasn't forgiven himself"", ' he still has a lot of shame and guilt', "" he's taken up a really chronic substance abuse issue"", ' this has not only really negatively affected their relationship, but as well as his relationship with his son, zeke', "" zeke is just a really innocent, wholesome little guy who's been thrust into this really bad situation"", ' now, sharon is married to sonic', ' however, they both cheat on each other quite a bit', ' it causes a lot of turmoil in their relationship', "" they've tried being in an open relationship, but they're both just too jealous"", "" it's very likely they are on the fast track to a divorce"", ' and finally, here we have leona', ' she was born into a lot of money', "" she really doesn't have to work a regular job a day in her life to get by, but because of that, she does a lot of community service"", "" you'll see her helping at the soup kitchen"", ' she works at the rehabilitation center', "" she sometimes works as like a cop, but the cops in baylor town aren't really cops"", "" they're more like social workers"", ' she also works with child protective services', ' she also is a transgender woman, and because of that, she really likes to use her resources to help out the lgbtq plus community in baylor town', ' just overall, a really charitable woman', "" but yeah, those are the people, and that's the connections between them"", "" i have a lot more characters i still haven't used, and you'll learn their stories later, but that's just what this is for now"", '']",0.29708217095270717
9,18,26,7287340941881494790,2023-10-07,pumpkin,,0.7049411,carving pumpkins,Learning,,"['and now i want to sit back and relax and enjoy my evening when all of a sudden i hear this agitating, grating voice', '']",0.29708217095270717
10,249,364,7284045695156243754,2023-09-28,with potatoes and some meat i can make a delicious dinner cooking recipe easy recipe quick recipes meat potato dinner,pupusa recipe pupusa potato recipes easy dinner recipes dinner ideas recipes ground beef recipes food recipes recipes for dinner potato pancakes,0.6915395, easy dinner recipes for right now,Dining,,"['with three potatoes and some meat, i can make a delicious dinner', ' start by cutting six large potatoes', ' transfer these diced potatoes to a large saucepan, and add one and one half teaspoon of salt with one liter of water', "" now cut one onion in half, then cut one of these halves into strips, and finally dice them, and the onions we've just chopped up"", ' then add one crushed garlic clove, add 500 grams of ground beef', ' to season it, add one and one half teaspoon of salt, add a generous pinch of black pepper', ' meanwhile, to a large bowl, add all those cooked and drained potato dices', ' also add 50 grams of unsalted butter, then add one whole egg', ' now add 160 grams of wheat flour, then get some of the potato dough and put it over the flour', ' flatten dough with the palm of your hands into a circle', "" now add two tablespoons of that meat we've set aside, then put one dumpling at a time into the skillet and fry them until golden brown"", "" and i'll also thank you for sharing this recipe"", ' see you next recipe, bye!']",0.29708217095270717
11,1322,1753,7254560407778528517,2023-07-11,margot robbie punched an actor on the barbie set barbie barbie doll barbie style barbie movie margot robbie,,0.6785604,how barbie the doll and the movie reflects our society,Letters,,"['who knew barbie had a mean right hook? margot robbie forgot to hold back when throwing a punch on the set of the barbie movie, and she accidentally made contact with the poor stuntman', ' robbie immediately went to check on the guy and help him to his feet after cut was called', ' and all seemed to be peaceful and well in barbie land', '']",0.29708217095270717
12,1357,1795,7260686171070614826,2023-07-27,part dreyas wedding is disrupted by a shocking revelation about sarah bela town drama barbie real housewives,barbie movie bela town barbie belatown edit barbie scene belatown doll drama barbie doll barbie doll movie barbie movie scenes barbie movie clips,0.67830503,how barbie the doll and the movie reflects our society,Letters,,"['if anyone in this room objects to the holy matrimony of frankie and drea, please speak now or forever hold your peace', "" melody, what are you doing here? it's my uncle's wedding"", ' what do you mean, what am i doing here? melody, you are not invited for a reason', ' you are causing a disturbance', "" now make your way- don't even try it with me right now, sarah"", "" you know damn well why i'm here"", "" and if you aren't gonna tell her, then i will"", "" melody, i swear to god, if you don't listen to your mother and get out of here right now, then what? what are you gonna do, sarah? no, really"", ' bitch, i have you pegged like a goddamn baseball', "" how can you, as a woman, stand right there next to the very woman you call your best friend and watch her happily get married to a man you know good and well you've been sleeping with? excuse me, what did you say? you heard me, right? that woman right there, sarah cunningham, my mother and your maid of honor, she had sex with your fiancé multiple times, as recent as last week"", "" sarah, is she telling the truth? listen, drea, it's not like that"", "" it's a yes or no question, sarah"", ' did you sleep with frankie? yes', ' bitch, get the fuck out', ' fake, wack, trash ass bitch', ' hey, hey, hey, get off of her', "" really, frankie? you're gonna protect her? i see how it is now"", "" baby, it's not like that at all"", ' i love you so much', "" you love me? motherfucker, you don't know what love is if this is how you treat somebody you love"", ' i took you in when you had nothing, you sorry sack of shit', ' everything you have is because of me', "" from your car, to your job, to the clothes on your back, and now you're gonna stab me in mine like this? my best friend, frankie? really, baby? listen, she came on to me"", ' oh, and you thought the appropriate response was to come inside of her? you make me sick', "" with your own brother's wife, too"", ' you disgust me in every way fathomable', "" how dare you? how dare you bring me all the way out here in front of all my friends and family to humiliate me like this? i didn't mean to humiliate you"", ' none of this was meant to happen, dre', "" i don't- oh, so what you meant to do was smile in my face and legally bind yourself to me while knowing all of the lies and deceit you close your eyes to at night? fuck you, asswipe"", ' and you, sarah? really? your own brother-in-law? my fiancé? you dirty ass ho', "" oh, so that's what you're gonna do? you're gonna call me a ho? now, yes, i am gonna call you a ho because that's what you are"", ' a good-for-nothing ass, two-faced, dirty ass ho, just like you always have been', ' i should have known what you were all about in college when you got that train ran on you by the entire soccer team, and you even tried to get the married coach in on it', "" bitch, don't be mad at me"", ' be mad at your man', "" it's not my fault he was willing to lay down and get up inside of me"", "" no, it's not"", "" but it is your fault that you decided to lie and disrespect me and ruin what was supposed to be the best day of my life, all because you couldn't keep your homewrecking ass away from mine"", '']",0.29708217095270717
